Customer ID,Customer Status,Date Order was placed,Delivery Date,Order ID,Product ID,Quantity Ordered,Total Retail Price for This Order,Cost Price Per Unit
85502,Silver,02-Jan-17,02-Jan-17,123007231,2.30101E+11,1,494.4,241
85636,SILVER,02-Jan-17,02-Jan-17,123007867,2.202E+11,1,93.8,41.75
87274,Gold,02-Jan-17,02-Jan-17,123009180,2.202E+11,2,149.6,36.85
87322,GOLD,02-Jan-17,03-Jan-17,123006229,2.201E+11,2,89.4,22.45
88346,Gold,02-Jan-17,04-Jan-17,123006250,2.20101E+11,3,35.7,5.4
89765,SILVER,02-Jan-17,02-Jan-17,123008368,2.403E+11,2,715.2,149.05
92956,Silver,02-Jan-17,02-Jan-17,123009195,2.301E+11,2,226.2,58.9
93084,Gold,02-Jan-17,02-Jan-17,123007948,2.401E+11,1,25.8,11.05
94196,Gold,02-Jan-17,02-Jan-17,123009206,2.201E+11,1,122.4,61.15
1155,Silver,03-Jan-17,03-Jan-17,123012964,2.202E+11,2,315.6,79
1419,Silver,03-Jan-17,03-Jan-17,123015824,2.408E+11,2,326.8,74.3
1562,Gold,03-Jan-17,03-Jan-17,123015830,2.201E+11,1,52.2,26.2
2501,Gold,03-Jan-17,04-Jan-17,123011798,2.202E+11,3,323.1,46.8
2910,Silver,03-Jan-17,03-Jan-17,123011816,2.408E+11,6,156.6,12.45
5017,Silver,03-Jan-17,05-Jan-17,123015934,2.202E+11,1,100.2,45.6
5167,Gold,03-Jan-17,03-Jan-17,123015943,2.301E+11,2,268.8,57.05
5806,GOLD,03-Jan-17,03-Jan-17,123015958,2.401E+11,1,46.8,22.05
8028,Gold,03-Jan-17,03-Jan-17,123016014,2.301E+11,1,99.9,50.05
8978,Gold,03-Jan-17,03-Jan-17,123011962,2.20101E+11,1,49.5,22.1
9305,Silver,03-Jan-17,03-Jan-17,123013798,2.401E+11,1,22.9,9.1
9785,Gold,03-Jan-17,03-Jan-17,123011967,2.30101E+11,1,220,135
9867,Silver,03-Jan-17,05-Jan-17,123011989,2.403E+11,3,146.1,22.1
10705,Gold,03-Jan-17,03-Jan-17,123016083,2.10201E+11,1,28.2,12.6
12743,Not Available,03-Jan-17,06-Jan-17,123014535,2.20101E+11,1,51.7,23.6
13162,Gold,03-Jan-17,05-Jan-17,123015460,2.301E+11,1,34.8,14.55
14958,Platinum,03-Jan-17,03-Jan-17,123016296,2.10201E+11,1,9.4,4.05
15780,Silver,03-Jan-17,03-Jan-17,123016303,2.202E+11,1,64,37.85
16924,SILVER,03-Jan-17,03-Jan-17,123016319,2.10201E+11,1,38.5,17.9
20641,Gold,03-Jan-17,03-Jan-17,123014556,2.20101E+11,1,69.5,34.7
20643,Gold,03-Jan-17,03-Jan-17,123016401,2.30101E+11,1,125.3,61.35
20991,Silver,03-Jan-17,04-Jan-17,123016410,2.401E+11,1,35.3,18.4
21537,Gold,03-Jan-17,03-Jan-17,123012105,2.201E+11,1,35.2,17.7
23706,SILVER,03-Jan-17,03-Jan-17,123014578,2.202E+11,1,57.3,28.75
24817,Gold,03-Jan-17,03-Jan-17,123012171,2.202E+11,1,84.9,38.65
25017,Silver,03-Jan-17,08-Jan-17,123013094,2.202E+11,1,57.3,33.9
26667,SILVER,03-Jan-17,04-Jan-17,123012193,2.408E+11,4,97.2,11.65
27982,Gold,03-Jan-17,03-Jan-17,123016657,2.202E+11,2,89.8,22.55
28326,Gold,03-Jan-17,03-Jan-17,123014614,2.407E+11,1,33.6,14.65
29063,Gold,03-Jan-17,03-Jan-17,123013112,2.402E+11,1,129.8,12.25
30160,Silver,03-Jan-17,03-Jan-17,123016715,2.201E+11,2,22.6,4.55
32777,Silver,03-Jan-17,03-Jan-17,123014993,2.402E+11,1,93.2,8.75
32953,Gold,03-Jan-17,03-Jan-17,123012328,2.30101E+11,1,103.2,50.4
34354,SILVER,03-Jan-17,03-Jan-17,123013117,2.401E+11,2,17.8,4.15
35072,SILVER,03-Jan-17,03-Jan-17,123012350,2.401E+11,2,219.4,50.85
35655,Silver,03-Jan-17,03-Jan-17,123012377,2.201E+11,1,34.6,17.4
36387,Silver,03-Jan-17,04-Jan-17,123012386,2.301E+11,2,213,50.65
36528,Gold,03-Jan-17,04-Jan-17,123014666,2.202E+11,2,69.8,17.55
37240,Gold,03-Jan-17,03-Jan-17,123016895,2.201E+11,1,6.7,3.4
37448,Silver,03-Jan-17,03-Jan-17,123012413,2.408E+11,2,219.8,44
37453,Silver,03-Jan-17,03-Jan-17,123016897,2.20101E+11,1,16,8.1
37670,Gold,03-Jan-17,05-Jan-17,123011389,2.30101E+11,2,71,17.25
40942,GOLD,03-Jan-17,03-Jan-17,123017002,2.405E+11,1,38.4,17.1
41552,Silver,03-Jan-17,06-Jan-17,123017017,2.408E+11,2,77.6,15.55
41728,Silver,03-Jan-17,04-Jan-17,123015040,2.202E+11,2,179.6,45
41857,Gold,03-Jan-17,03-Jan-17,123014690,2.202E+11,1,34.9,17.55
43336,Gold,03-Jan-17,03-Jan-17,123014705,2.102E+11,1,19.4,9.8
43532,Gold,03-Jan-17,03-Jan-17,123013203,2.202E+11,1,94.3,47.25
43763,Silver,03-Jan-17,03-Jan-17,123012496,2.401E+11,1,97.9,42.05
44142,Gold,03-Jan-17,03-Jan-17,123017077,2.102E+11,1,19.3,9.75
45031,Silver,03-Jan-17,03-Jan-17,123017122,2.10201E+11,1,27.7,12.4
45220,SILVER,03-Jan-17,03-Jan-17,123014724,2.201E+11,1,19.7,9.95
47727,Silver,03-Jan-17,03-Jan-17,123014746,2.20101E+11,2,102,23.3
48131,Silver,03-Jan-17,05-Jan-17,123012571,2.202E+11,1,60.2,27.4
49016,Gold,03-Jan-17,03-Jan-17,123014751,2.202E+11,1,79.4,37
49627,GOLD,03-Jan-17,03-Jan-17,123015081,2.407E+11,1,17,8.1
50115,Platinum,03-Jan-17,03-Jan-17,123014004,2.401E+11,1,13.2,5.45
50121,Gold,03-Jan-17,03-Jan-17,123014008,2.401E+11,1,77.1,32.85
52297,Silver,03-Jan-17,03-Jan-17,123014764,2.10201E+11,1,24,11.95
54264,Silver,03-Jan-17,08-Jan-17,123012664,2.30101E+11,1,103.2,50.4
55412,Silver,03-Jan-17,07-Jan-17,123014034,2.401E+11,1,22.8,11.45
55859,Silver,03-Jan-17,09-Jan-17,123015585,2.301E+11,2,352,74.55
56023,Gold,03-Jan-17,03-Jan-17,123014798,2.201E+11,1,18.1,7.8
57345,Gold,03-Jan-17,03-Jan-17,123014814,2.201E+11,1,113.9,57.05
57585,Gold,03-Jan-17,03-Jan-17,123014818,2.102E+11,1,56.4,25
57721,Silver,03-Jan-17,03-Jan-17,123012703,2.202E+11,1,71.6,32.6
57835,Gold,03-Jan-17,07-Jan-17,123012713,2.30101E+11,1,73,30.35
59179,Gold,03-Jan-17,03-Jan-17,123012715,2.20101E+11,1,85.4,40.7
59852,Silver,03-Jan-17,03-Jan-17,123017557,2.408E+11,2,171.2,34.3
60839,GOLD,03-Jan-17,03-Jan-17,123017575,2.201E+11,1,101.3,50.75
62039,Gold,03-Jan-17,03-Jan-17,123013358,2.201E+11,1,41.2,20.7
71302,Gold,03-Jan-17,07-Jan-17,123014115,2.401E+11,1,11.6,4.75
72047,Silver,03-Jan-17,08-Jan-17,123015148,2.202E+11,2,45.2,9.65
72529,Silver,03-Jan-17,05-Jan-17,123011785,2.402E+11,1,66.7,27.45
72948,Silver,03-Jan-17,03-Jan-17,123014136,2.402E+11,1,147.2,74.9
74053,Silver,03-Jan-17,05-Jan-17,123011560,2.102E+11,5,243.5,24.45
75260,GOLD,03-Jan-17,07-Jan-17,123015632,2.301E+11,2,96.6,20.5
75787,Gold,03-Jan-17,03-Jan-17,123014158,2.20101E+11,1,65.8,30
76424,Silver,03-Jan-17,12-Jan-17,123014172,2.401E+11,1,45,19.2
78336,GOLD,03-Jan-17,09-Jan-17,123013545,2.10201E+11,1,20,9.15
78776,Gold,03-Jan-17,09-Jan-17,123015747,2.30101E+11,2,173.2,34.1
80827,GOLD,03-Jan-17,09-Jan-17,123015664,2.301E+11,2,201.2,40.3
81252,Silver,03-Jan-17,03-Jan-17,123012930,2.404E+11,1,127.3,53.05
81276,Silver,03-Jan-17,03-Jan-17,123015231,2.301E+11,1,69.4,34.8
82759,Gold,03-Jan-17,03-Jan-17,123015672,2.20101E+11,1,63,28.7
84975,Silver,03-Jan-17,05-Jan-17,123013774,2.202E+11,1,122.6,61.4
86719,Platinum,03-Jan-17,03-Jan-17,123014347,2.408E+11,2,171.2,34.3
88064,Silver,03-Jan-17,03-Jan-17,123015288,2.202E+11,1,72.8,36.5
89823,Gold,03-Jan-17,03-Jan-17,123015306,2.10201E+11,1,13.9,6.55
90475,Silver,03-Jan-17,04-Jan-17,123015326,2.201E+11,5,66,6.5
90773,Silver,03-Jan-17,03-Jan-17,123015336,2.20101E+11,1,34.6,15.5
92806,Gold,03-Jan-17,03-Jan-17,123013740,2.202E+11,2,170.6,42.75
92990,Silver,03-Jan-17,07-Jan-17,123011724,2.201E+11,2,115.6,29
93318,SILVER,03-Jan-17,06-Jan-17,123013747,2.406E+11,1,44,19.15
93526,Silver,03-Jan-17,03-Jan-17,123011745,2.407E+11,2,47,9.5
1642,SILVER,04-Jan-17,04-Jan-17,123018141,2.406E+11,1,18.6,7.5
8474,GOLD,04-Jan-17,04-Jan-17,123019095,2.407E+11,1,62.8,27.3
9359,Silver,04-Jan-17,10-Jan-17,123019983,2.407E+11,1,63.6,33.15
10171,SILVER,04-Jan-17,04-Jan-17,123018193,2.401E+11,1,51.5,22.8
12656,Gold,04-Jan-17,04-Jan-17,123020045,2.407E+11,1,23.5,9.5
16444,GOLD,04-Jan-17,04-Jan-17,123020134,2.30101E+11,1,540.7,276
26213,Gold,04-Jan-17,04-Jan-17,123017796,2.30101E+11,4,474.4,59.4
27682,Silver,04-Jan-17,04-Jan-17,123018765,2.20101E+11,1,63,28.7
29859,GOLD,04-Jan-17,09-Jan-17,123020393,2.401E+11,1,183.1,85.4
29938,Silver,04-Jan-17,06-Jan-17,123018315,2.30101E+11,1,360,199
33225,GOLD,04-Jan-17,04-Jan-17,123020445,2.405E+11,2,111.4,24.2
54907,Silver,04-Jan-17,04-Jan-17,123018814,2.30101E+11,1,16.7,7.25
54941,Gold,04-Jan-17,06-Jan-17,123020838,2.401E+11,2,64.8,13.65
56452,Silver,04-Jan-17,04-Jan-17,123020878,2.407E+11,1,26.99,10.23
59620,Silver,04-Jan-17,04-Jan-17,123018432,2.20101E+11,1,33.7,15.7
59648,SILVER,04-Jan-17,04-Jan-17,123020952,2.404E+11,1,78.3,31.4
60047,Silver,04-Jan-17,04-Jan-17,123020962,2.202E+11,1,160.7,80.45
62111,GOLD,04-Jan-17,04-Jan-17,123021047,2.20101E+11,1,27.3,12.25
71252,Gold,04-Jan-17,04-Jan-17,123018471,2.201E+11,1,59,29.6
75680,SILVER,04-Jan-17,04-Jan-17,123018921,2.401E+11,1,15.3,7.5
75685,Gold,04-Jan-17,04-Jan-17,123019310,2.202E+11,1,156.3,78.25
76815,Silver,04-Jan-17,04-Jan-17,123019619,2.401E+11,1,83.9,35
80070,Gold,04-Jan-17,04-Jan-17,123019663,2.202E+11,1,157.8,79
81370,Silver,04-Jan-17,08-Jan-17,123019361,2.403E+11,2,129.4,27.3
81871,Silver,04-Jan-17,06-Jan-17,123018587,2.402E+11,1,9.9,5.05
82117,Silver,04-Jan-17,04-Jan-17,123018945,2.405E+11,1,28.5,13.6
82178,GOLD,04-Jan-17,04-Jan-17,123019673,2.401E+11,2,46.4,9.95
83469,Gold,04-Jan-17,04-Jan-17,123018598,2.102E+11,1,36.8,18.5
85630,Silver,04-Jan-17,04-Jan-17,123018979,2.404E+11,1,4.7,1.8
85925,Silver,04-Jan-17,04-Jan-17,123018614,2.402E+11,1,121.6,62.9
86868,Gold,04-Jan-17,04-Jan-17,123019422,2.20101E+11,1,33.7,15
87130,Silver,04-Jan-17,04-Jan-17,123019011,2.102E+11,1,46,23.1
90385,Gold,04-Jan-17,04-Jan-17,123019042,2.201E+11,1,34.6,17.4
91893,Silver,04-Jan-17,04-Jan-17,123019467,2.20101E+11,1,109.2,49.75
327,GOLD,05-Jan-17,08-Jan-17,123024889,2.408E+11,2,48.6,11.65
2608,Silver,05-Jan-17,05-Jan-17,123024946,2.401E+11,1,23.2,9.7
2769,Gold,05-Jan-17,10-Jan-17,123024956,2.408E+11,2,300.5,60.1
2884,Gold,05-Jan-17,05-Jan-17,123023774,2.401E+11,1,63.8,31.85
3105,Gold,05-Jan-17,05-Jan-17,123023175,2.401E+11,2,26.4,5.65
4916,Gold,05-Jan-17,05-Jan-17,123025042,2.30101E+11,1,86.3,41.4
8399,Silver,05-Jan-17,05-Jan-17,123023813,2.201E+11,1,49.5,24.85
10708,GOLD,05-Jan-17,10-Jan-17,123024169,2.301E+11,4,40,3.8
11516,Silver,05-Jan-17,08-Jan-17,123025190,2.408E+11,2,300.5,60.1
13337,Gold,05-Jan-17,05-Jan-17,123025245,2.20101E+11,1,34.5,17.2
14862,Silver,05-Jan-17,05-Jan-17,123021668,2.405E+11,1,24.1,11.55
15509,Silver,05-Jan-17,05-Jan-17,123023851,2.102E+11,1,19.7,9.95
16451,GOLD,05-Jan-17,05-Jan-17,123023862,2.401E+11,2,127.6,27.5
17981,Gold,05-Jan-17,05-Jan-17,123024196,2.201E+11,2,34.8,8.2
20990,Silver,05-Jan-17,05-Jan-17,123023909,2.407E+11,1,54,27.1
21957,Silver,05-Jan-17,05-Jan-17,123025421,2.301E+11,2,337.2,71.75
22261,Gold,05-Jan-17,05-Jan-17,123022565,2.10201E+11,1,17.9,8.05
22287,Silver,05-Jan-17,08-Jan-17,123022571,2.201E+11,1,71.7,28.65
22896,Gold,05-Jan-17,05-Jan-17,123021743,2.20101E+11,1,49.5,22.6
24189,Silver,05-Jan-17,05-Jan-17,123023911,2.301E+11,4,116.4,13.45
24483,SILVER,05-Jan-17,09-Jan-17,123023914,2.201E+11,1,114.2,57.2
25908,Gold,05-Jan-17,05-Jan-17,123021791,2.405E+11,2,84.4,20.05
28327,Silver,05-Jan-17,05-Jan-17,123023923,2.202E+11,1,100.2,45.6
29101,GOLD,05-Jan-17,08-Jan-17,123025631,2.408E+11,2,84.6,18.45
29259,Silver,05-Jan-17,05-Jan-17,123023929,2.10201E+11,1,79,32.8
30921,Silver,05-Jan-17,05-Jan-17,123021891,2.20101E+11,1,95.5,43.45
32139,Silver,05-Jan-17,05-Jan-17,123021913,2.20101E+11,1,18.4,8.3
33756,Silver,05-Jan-17,05-Jan-17,123023264,2.401E+11,1,33.3,14.85
34933,Gold,05-Jan-17,06-Jan-17,123024840,2.301E+11,2,647.8,148.55
35443,Silver,05-Jan-17,06-Jan-17,123025837,2.408E+11,4,681.5,68.15
36774,Gold,05-Jan-17,05-Jan-17,123025850,2.405E+11,1,54.7,23.85
38734,Gold,05-Jan-17,05-Jan-17,123023979,2.102E+11,1,32.1,16.15
38776,Silver,05-Jan-17,09-Jan-17,123022006,2.30101E+11,1,77,38.6
39217,Silver,05-Jan-17,05-Jan-17,123023326,2.201E+11,1,45.8,23
39279,Silver,05-Jan-17,05-Jan-17,123025944,2.202E+11,1,66.4,30.25
39987,Silver,05-Jan-17,05-Jan-17,123025963,2.30101E+11,1,173,72.75
40267,Silver,05-Jan-17,05-Jan-17,123024632,2.10201E+11,1,34.8,14.9
40813,GOLD,05-Jan-17,05-Jan-17,123022013,2.201E+11,1,38.6,19.4
44209,GOLD,05-Jan-17,05-Jan-17,123022635,2.10201E+11,1,49.6,20.55
45499,Gold,05-Jan-17,05-Jan-17,123023370,2.20101E+11,1,62.2,29.9
45507,Silver,05-Jan-17,09-Jan-17,123023380,2.10201E+11,1,23.5,9.2
46044,Silver,05-Jan-17,05-Jan-17,123026119,2.20101E+11,1,18.2,8.45
46517,Gold,05-Jan-17,09-Jan-17,123026159,2.408E+11,2,95.8,20.9
46791,Gold,05-Jan-17,09-Jan-17,123024033,2.201E+11,4,102.4,12.1
47240,Gold,05-Jan-17,08-Jan-17,123026167,2.401E+11,1,91.6,45.75
47310,Gold,05-Jan-17,05-Jan-17,123026170,2.10201E+11,1,24.5,9.85
48112,Silver,05-Jan-17,05-Jan-17,123022056,2.403E+11,2,90.8,19.55
48529,SILVER,05-Jan-17,05-Jan-17,123022078,2.406E+11,1,22,9.1
51787,Gold,05-Jan-17,05-Jan-17,123026261,2.102E+11,1,46.5,23.35
52261,Gold,05-Jan-17,05-Jan-17,123023459,2.30101E+11,1,360,199
52656,Platinum,05-Jan-17,05-Jan-17,123026275,2.407E+11,1,6,2.85
55792,Gold,05-Jan-17,05-Jan-17,123026333,2.30101E+11,1,173,72.75
57581,Silver,05-Jan-17,05-Jan-17,123026402,2.20101E+11,1,16.5,7.45
57756,Silver,05-Jan-17,08-Jan-17,123024330,2.201E+11,1,11.2,5.7
58685,Gold,05-Jan-17,05-Jan-17,123026409,2.401E+11,2,395.8,84.9
60664,Gold,05-Jan-17,05-Jan-17,123021227,2.405E+11,2,109.2,23.85
61786,Not Available,05-Jan-17,06-Jan-17,123026450,2.301E+11,2,141.6,29.8
62687,Gold,05-Jan-17,05-Jan-17,123022304,2.20101E+11,1,52.3,22.65
63599,SILVER,05-Jan-17,10-Jan-17,123023511,2.401E+11,1,120.1,56.45
70714,Gold,05-Jan-17,05-Jan-17,123023528,2.20101E+11,1,93,41
71609,Gold,05-Jan-17,09-Jan-17,123021116,2.401E+11,2,154.4,32.9
72452,SILVER,05-Jan-17,05-Jan-17,123023552,2.20101E+11,1,40.6,19.25
73047,Silver,05-Jan-17,08-Jan-17,123021126,2.401E+11,2,17.8,4.1
74708,SILVER,05-Jan-17,05-Jan-17,123022864,2.102E+11,1,60.1,30.15
76587,Platinum,05-Jan-17,05-Jan-17,123024387,2.202E+11,1,62.6,31.4
77828,Gold,05-Jan-17,05-Jan-17,123022892,2.20101E+11,1,55.9,24.2
78276,Gold,05-Jan-17,05-Jan-17,123022403,2.20101E+11,1,63,28.7
79719,Silver,05-Jan-17,05-Jan-17,123022934,2.401E+11,1,353.6,174.75
80320,Silver,05-Jan-17,11-Jan-17,123021447,2.402E+11,1,149.1,90.7
80346,Gold,05-Jan-17,06-Jan-17,123022936,2.403E+11,4,69.6,8.1
81240,GOLD,05-Jan-17,05-Jan-17,123023612,2.407E+11,1,6.2,2.75
81391,SILVER,05-Jan-17,05-Jan-17,123022409,2.401E+11,2,103,22.8
81437,Gold,05-Jan-17,07-Jan-17,123024425,2.202E+11,1,125.8,63
81842,SILVER,05-Jan-17,10-Jan-17,123022992,2.30101E+11,1,360,199
85630,Silver,05-Jan-17,05-Jan-17,123023677,2.102E+11,1,70.8,36.9
86519,Gold,05-Jan-17,05-Jan-17,123023075,2.406E+11,1,11.7,4.8
87110,Silver,05-Jan-17,05-Jan-17,123024462,2.10201E+11,1,51.3,23.4
87295,Silver,05-Jan-17,08-Jan-17,123023084,2.202E+11,1,95.5,43.55
87531,SILVER,05-Jan-17,08-Jan-17,123023692,2.401E+11,1,28.8,12.3
88779,SILVER,05-Jan-17,05-Jan-17,123024485,2.20101E+11,1,106.8,42.8
88885,Silver,05-Jan-17,05-Jan-17,123024833,2.405E+11,1,126.8,52.9
88942,Gold,05-Jan-17,05-Jan-17,123021382,2.401E+11,1,3.3,1.35
89147,Gold,05-Jan-17,05-Jan-17,123023095,2.202E+11,1,38.2,18.95
89392,Gold,05-Jan-17,05-Jan-17,123023110,2.202E+11,1,104.3,52.25
89625,Silver,05-Jan-17,05-Jan-17,123024834,2.30101E+11,1,84.2,42.2
89875,Gold,05-Jan-17,06-Jan-17,123024509,2.202E+11,2,166,37.8
90177,GOLD,05-Jan-17,05-Jan-17,123024519,2.102E+11,1,42.4,21.3
90962,Gold,05-Jan-17,05-Jan-17,123022457,2.202E+11,1,93.1,42.45
91866,Silver,05-Jan-17,11-Jan-17,123023134,2.20101E+11,1,91.6,41.75
407,Silver,06-Jan-17,07-Jan-17,123030346,2.405E+11,1,30.8,14.35
2285,Silver,06-Jan-17,09-Jan-17,123030368,2.408E+11,2,52.2,12.45
2304,Gold,06-Jan-17,06-Jan-17,123029243,2.405E+11,1,23.2,11.1
2455,GOLD,06-Jan-17,11-Jan-17,123030385,2.407E+11,1,68.2,35.55
2777,Silver,06-Jan-17,11-Jan-17,123028047,2.20101E+11,1,100.2,47.75
4611,Silver,06-Jan-17,06-Jan-17,123028715,2.10201E+11,1,27.7,12.4
6229,GOLD,06-Jan-17,06-Jan-17,123027062,2.20101E+11,1,108.7,53
7011,GOLD,06-Jan-17,06-Jan-17,123028724,2.408E+11,2,171.6,39.9
7089,Gold,06-Jan-17,06-Jan-17,123027080,2.406E+11,1,38.7,15.85
8011,Gold,06-Jan-17,07-Jan-17,123027107,2.301E+11,2,116.6,29.25
8465,Silver,06-Jan-17,06-Jan-17,123027116,2.406E+11,1,3.4,1.25
