Rowid,Timestamp,Anonymized_Vehicle_Number,Vehicle_Type
54,2021-08-02 16:59:38,9885768,car
55,2021-08-19 04:54:56,4327783,car
56,2021-08-17 18:11:45,3904834,truck
57,2021-08-02 19:48:50,1358382,car
58,2021-08-17 16:46:31,3579992,car
59,2021-08-11 22:21:30,8130760,car
60,2021-07-30 09:54:24,6546218,car
61,2021-08-07 16:42:24,3673515,car
62,2021-08-04 20:43:54,9888875,truck
63,2021-08-07 20:44:08,8136080,truck
64,2021-08-12 19:23:36,2078447,van
65,2021-08-07 16:41:49,8090807,car
66,2021-08-01 07:32:04,4309692,car
67,2021-08-11 14:24:25,3752767,car
68,2021-08-04 23:10:29,9407219,car
69,2021-08-04 14:29:11,2167845,van
70,2021-08-17 01:20:54,7903517,car
71,2021-08-21 02:09:35,7385817,car
72,2021-08-19 17:52:30,5673776,car
73,2021-08-17 21:58:23,823973,car
74,2021-08-10 13:03:36,9361361,car
75,2021-08-21 19:25:57,8744445,car
76,2021-08-08 14:01:06,2910050,car
77,2021-08-05 11:21:12,1686323,car
78,2021-08-01 07:10:55,9113006,car
79,2021-07-30 15:53:32,660597,car
80,2021-08-22 16:38:30,8500934,car
81,2021-08-19 13:11:29,395519,truck
82,2021-08-09 14:17:00,2616607,truck
83,2021-08-14 10:36:28,7218572,car
84,2021-08-12 11:53:03,994857,truck
85,2021-08-02 20:12:17,3168436,car
86,2021-08-13 20:06:41,1572712,car
87,2021-07-29 17:35:21,545955,car
88,2021-08-22 05:39:41,2013386,car
89,2021-08-11 02:43:03,6566889,car
90,2021-08-11 02:39:24,852585,car
91,2021-07-29 14:30:02,6196238,truck
92,2021-08-02 11:07:12,6031416,truck
93,2021-08-04 15:15:09,6905906,van
94,2021-08-11 17:34:54,3764238,car
95,2021-08-05 06:31:23,1673826,truck
96,2021-08-21 18:13:29,316662,car
97,2021-08-19 22:17:26,2992127,truck
98,2021-08-19 12:02:31,7517992,car
99,2021-08-12 06:54:12,6232948,truck
100,2021-07-30 08:09:03,4369477,car
101,2021-08-06 18:18:53,4388245,truck
102,2021-08-07 20:49:07,8392508,car
103,2021-07-30 16:08:08,6858708,car
104,2021-08-06 06:59:16,6215048,truck
105,2021-08-13 11:20:04,7046549,truck
106,2021-08-04 18:37:46,7899881,truck
107,2021-08-20 01:13:53,9824238,car
108,2021-08-08 10:25:38,8180012,car
109,2021-08-10 12:42:19,426578,car
110,2021-07-29 11:33:20,3284775,car
111,2021-07-31 18:42:46,5487227,car
112,2021-08-12 23:09:32,1772941,car
113,2021-08-13 04:52:01,2471284,van
114,2021-08-22 03:05:40,6040036,car
115,2021-08-13 12:39:10,9249042,truck
116,2021-08-09 22:59:28,5791925,car
117,2021-08-06 01:01:14,3696614,truck
118,2021-08-02 05:42:51,7892550,car
119,2021-08-01 19:31:14,5673214,van
120,2021-08-06 05:58:42,6657095,truck
121,2021-08-09 16:03:31,2067579,van
122,2021-08-13 11:42:48,1005686,car
123,2021-08-08 02:44:35,7521772,van
124,2021-08-15 08:43:48,6545042,car
125,2021-08-09 05:03:17,3473929,truck
126,2021-08-22 02:13:18,29457,car
127,2021-08-21 23:03:24,7360318,car
128,2021-08-17 10:32:29,3427163,truck
129,2021-07-30 08:44:05,3007179,van
130,2021-08-20 06:01:27,2151509,car
131,2021-07-31 05:17:21,1067960,car
132,2021-08-03 07:01:26,1100257,car
133,2021-08-22 10:01:40,4346999,car
134,2021-08-14 17:24:04,4371005,car
135,2021-08-14 11:50:01,1583109,car
136,2021-08-18 07:26:20,8808595,car
137,2021-08-05 01:15:16,1841800,van
138,2021-07-31 00:28:44,1825050,car
139,2021-08-13 09:54:01,8490556,car
140,2021-07-29 23:02:42,2549393,truck
141,2021-08-11 13:15:55,9636921,truck
142,2021-08-19 21:13:57,8899022,truck
143,2021-08-19 08:46:24,8112100,van
144,2021-07-29 16:02:19,335366,car
145,2021-07-31 19:32:50,1716955,truck
146,2021-08-21 13:56:33,4153555,van
147,2021-07-31 12:55:05,5626263,car
148,2021-08-06 23:05:57,49472,car
149,2021-08-05 15:24:15,2497636,car
150,2021-08-03 19:13:15,7825358,truck
151,2021-07-31 11:27:59,6084818,van
152,2021-08-19 18:53:39,5455899,car
153,2021-08-17 22:11:51,1849505,van
154,2021-08-18 19:49:38,6114302,car
155,2021-08-15 12:34:18,8064123,car
156,2021-08-06 19:17:50,538972,truck
157,2021-07-30 13:58:53,6869546,truck
158,2021-08-02 16:00:33,3766512,car
159,2021-08-20 21:45:41,3528403,car
160,2021-08-20 04:59:50,4380057,van
161,2021-08-15 00:36:59,7876599,car
162,2021-08-13 00:25:06,969619,car
163,2021-07-30 13:42:03,5763049,car
164,2021-08-16 05:46:00,6079402,truck
165,2021-08-01 22:59:23,4832816,car
166,2021-08-20 12:19:46,3518759,truck
167,2021-07-31 02:42:05,4469770,truck
168,2021-08-06 11:25:34,7942552,truck
169,2021-08-17 21:17:32,2493747,truck
170,2021-08-03 15:31:28,8099060,car
171,2021-08-20 22:50:25,4492765,truck
172,2021-08-06 07:45:56,5758058,car
173,2021-08-19 00:24:55,9496559,car
174,2021-07-30 02:24:22,3174341,car
175,2021-08-13 05:55:34,3318165,car
176,2021-08-02 14:28:14,7509515,truck
177,2021-08-03 12:47:44,367073,car
178,2021-08-08 09:26:56,8543348,truck
179,2021-08-20 04:16:14,4588656,car
180,2021-08-20 04:22:16,9706662,car
181,2021-08-10 03:28:33,3359010,car
182,2021-08-18 11:24:47,7639441,car
183,2021-08-03 08:52:25,9449600,car
184,2021-08-11 06:39:10,7572233,car
185,2021-08-20 03:23:49,7096671,truck
186,2021-07-30 23:54:00,6218100,car
187,2021-08-11 07:11:55,9500467,van
188,2021-08-15 20:41:12,2551672,truck
189,2021-08-18 18:28:36,4423795,car
190,2021-08-09 07:19:12,1520424,car
191,2021-08-10 16:39:12,5680437,car
192,2021-08-09 02:30:05,1469208,van
193,2021-08-09 06:58:52,9017449,car
194,2021-08-07 03:09:03,9014873,truck
195,2021-08-07 21:03:28,6849933,car
196,2021-08-01 00:29:43,1907386,car
197,2021-08-01 01:56:36,5556619,truck
198,2021-08-17 00:22:53,8724319,truck
199,2021-08-09 08:24:12,4066334,car
200,2021-07-31 19:46:31,1208453,car
201,2021-08-06 18:13:51,8705286,truck
202,2021-08-12 00:17:15,758555,car
203,2021-08-10 22:07:00,7388283,car
204,2021-08-08 07:16:20,7589773,car
205,2021-08-18 08:29:07,2316095,car
206,2021-08-10 20:36:42,1847455,van
207,2021-08-13 05:36:53,7707016,car
208,2021-08-01 04:10:44,2616520,truck
209,2021-08-15 11:41:43,8332760,truck
210,2021-08-09 05:19:02,9677148,car
211,2021-08-04 19:23:36,2695699,car
212,2021-08-20 04:00:27,1836057,car
213,2021-08-18 09:20:33,7980271,truck
214,2021-07-31 01:41:58,9166253,car
215,2021-08-02 20:26:27,5966610,car
216,2021-08-10 14:11:13,8273227,car
217,2021-08-17 11:21:41,4772310,car
218,2021-08-12 01:18:11,401226,car
219,2021-08-02 22:30:06,5259884,van
220,2021-08-12 13:20:29,4560546,car
221,2021-08-06 23:10:56,3679257,truck
222,2021-08-08 01:28:48,5001460,car
223,2021-08-12 14:26:03,488809,car
224,2021-08-15 16:57:15,4435309,car
225,2021-08-06 17:35:18,9206176,car
226,2021-08-07 03:08:44,5665208,truck
227,2021-08-01 05:31:31,3619766,car
228,2021-08-18 09:22:29,8195160,car
229,2021-08-04 05:40:04,689804,truck
230,2021-08-16 02:36:38,7671204,car
231,2021-08-06 19:31:40,7549660,truck
232,2021-08-02 17:00:36,6999001,car
233,2021-08-12 15:17:57,3470780,truck
234,2021-08-07 15:21:43,3321932,car
235,2021-08-09 04:56:23,2993477,truck
236,2021-08-13 09:02:27,7137012,car
237,2021-08-02 07:55:35,4425207,car
238,2021-08-14 11:54:16,8906007,car
239,2021-07-31 04:23:09,2613132,car
240,2021-08-16 01:53:03,1351738,truck
241,2021-08-14 11:49:22,8845283,car
242,2021-08-18 19:07:34,5207716,car
243,2021-08-09 05:34:28,2593435,car
244,2021-08-14 08:00:30,3194131,car
245,2021-08-14 08:01:53,946473,car
246,2021-08-02 19:28:13,2098761,truck
247,2021-08-11 02:53:00,7556070,van
248,2021-08-13 20:51:49,7949412,car
249,2021-08-16 01:15:58,4982057,car
250,2021-08-15 04:10:44,1732371,car
251,2021-08-08 23:50:15,4012995,car
252,2021-08-18 07:43:49,2596237,car
253,2021-08-02 17:51:59,8381319,car
254,2021-08-11 21:55:31,5062265,truck
255,2021-08-16 17:16:35,7705983,car
256,2021-07-29 16:35:35,2307979,van
257,2021-08-16 03:21:45,2588561,car
258,2021-08-08 12:39:42,6847371,car
259,2021-08-17 15:39:08,2121085,car
260,2021-08-03 01:37:46,1734512,car
261,2021-08-17 22:18:40,7759834,truck
262,2021-08-16 10:41:55,6292412,car
263,2021-08-13 11:00:14,866998,car
264,2021-08-12 23:25:40,9057323,truck
265,2021-08-06 03:55:57,8091650,car
266,2021-08-05 23:24:23,2155384,car
267,2021-08-03 06:54:05,1867583,car
268,2021-08-16 07:28:50,2703371,truck
269,2021-08-03 20:00:16,8368036,car
270,2021-08-16 07:03:18,3418635,truck
271,2021-08-15 16:44:18,301035,car
272,2021-08-12 13:34:54,4648848,car
273,2021-08-13 02:09:10,758078,car
274,2021-08-07 04:50:03,1517284,van
275,2021-08-04 20:38:41,5708944,car
276,2021-07-29 20:17:07,202496,car
277,2021-07-29 19:34:22,6716922,truck
278,2021-08-08 03:23:33,5536264,car
279,2021-08-08 07:34:29,2105735,car
280,2021-07-31 12:39:28,8857993,car
281,2021-08-09 15:56:14,514282,car
282,2021-08-06 23:44:18,847307,truck
283,2021-08-07 06:42:24,2573891,van
284,2021-08-06 08:07:39,9009917,car
285,2021-08-19 14:34:35,1701415,truck
286,2021-08-07 20:38:49,5040531,car
287,2021-08-20 13:15:02,1297862,car
288,2021-08-04 06:15:30,1932822,van
289,2021-07-31 21:51:59,8569313,car
290,2021-08-08 06:33:09,6311114,car
291,2021-08-16 06:11:04,1451546,car
292,2021-08-20 13:36:58,1711676,van
293,2021-08-09 18:51:11,6740804,car
294,2021-08-18 12:19:24,9049528,car
295,2021-08-15 08:30:45,5269094,van
296,2021-08-11 13:15:58,4753661,car
297,2021-08-14 09:06:09,1948111,car
298,2021-08-17 00:00:26,5894664,van
299,2021-08-11 04:51:17,5455717,truck
300,2021-08-02 21:43:22,1499647,car
301,2021-08-05 21:50:38,2843245,truck
302,2021-08-16 04:30:00,9796603,truck
303,2021-08-01 21:21:40,5671860,car
304,2021-08-17 04:20:26,425972,truck
305,2021-08-10 07:28:04,7588083,car
306,2021-08-04 03:45:21,4816147,car
307,2021-08-12 06:45:42,461211,car
308,2021-07-30 07:48:58,7091224,car
309,2021-08-14 03:11:57,3540160,car
310,2021-08-21 01:26:42,863358,van
311,2021-08-21 07:49:28,2813269,truck
312,2021-08-15 02:47:01,4346673,car
313,2021-08-09 05:22:43,2872850,truck
314,2021-08-12 02:39:09,6322565,car
315,2021-08-10 13:58:49,2138116,car
316,2021-08-14 23:05:55,9574626,van
317,2021-08-05 18:17:26,8951022,car
318,2021-07-31 09:29:28,6597551,truck
319,2021-08-08 22:50:36,3348298,car
320,2021-07-30 20:45:55,846482,car
321,2021-08-03 11:54:14,6676389,car
322,2021-08-09 16:32:26,5427260,car
323,2021-08-17 07:58:48,1653255,truck
324,2021-08-17 19:16:31,2976969,car
325,2021-08-17 10:01:21,2959955,car
326,2021-08-08 13:34:03,8519579,car
327,2021-08-04 13:51:04,340196,truck
328,2021-08-15 14:02:51,1959570,truck
329,2021-08-03 14:46:46,4214176,car
330,2021-08-07 11:24:50,430612,truck
331,2021-08-07 10:02:09,2164841,car
332,2021-08-18 15:40:47,6533535,car
333,2021-08-17 10:44:33,4798571,truck
334,2021-08-15 18:22:49,2760594,car
335,2021-08-14 12:31:44,2304313,truck
336,2021-08-07 10:52:13,2985337,car
337,2021-08-21 09:14:47,4227039,car
338,2021-08-05 08:01:30,1255970,truck
339,2021-08-13 01:03:49,5241924,truck
340,2021-08-03 20:43:16,7451832,car
341,2021-08-02 04:45:44,3989343,truck
342,2021-08-14 18:14:30,1804267,van
343,2021-08-17 17:11:29,1589440,truck
344,2021-08-21 19:27:45,7750582,car
345,2021-08-08 12:34:50,116476,car
346,2021-08-20 07:15:06,2617674,car
347,2021-08-10 21:55:17,4228191,car
348,2021-08-09 14:43:31,109141,van
349,2021-08-11 16:55:19,5065439,car
350,2021-08-22 15:33:59,1852318,truck
351,2021-08-17 19:49:02,3191217,car
352,2021-08-20 13:55:39,8036070,car
353,2021-07-29 17:40:36,7270810,car
354,2021-07-31 07:08:17,4800433,car
355,2021-08-15 14:59:08,7600086,car
356,2021-08-16 20:41:37,1308715,truck
357,2021-08-19 16:46:20,448292,car
358,2021-08-03 10:52:15,8125706,truck
359,2021-08-07 22:39:54,7354020,truck
360,2021-08-20 12:45:43,8604614,car
361,2021-08-16 04:34:39,8074052,car
362,2021-08-17 21:02:38,3137291,car
363,2021-08-02 07:57:43,7817055,car
364,2021-08-02 23:55:35,9979009,car
365,2021-08-18 07:46:35,7381741,car
366,2021-08-10 09:53:24,6413555,car
367,2021-08-05 09:24:17,5271350,car
368,2021-08-21 02:13:24,5887331,car
369,2021-08-13 03:38:51,2484968,car
370,2021-08-15 21:25:06,2023578,car
371,2021-08-14 14:44:43,2574839,car
372,2021-08-21 11:27:08,192172,truck
373,2021-07-31 09:30:08,1794758,truck
374,2021-08-03 14:17:39,254824,car
375,2021-08-08 21:51:35,8317981,truck
376,2021-08-11 15:12:48,7578701,van
377,2021-08-05 12:56:57,2555513,car
378,2021-08-17 01:48:59,2119264,car
379,2021-08-21 20:51:46,239988,car
380,2021-08-16 11:08:11,147156,van
381,2021-08-08 18:05:36,6891565,car
382,2021-08-06 20:55:48,4765841,car
383,2021-08-06 10:14:37,9017443,car
384,2021-08-21 21:23:37,8747053,car
385,2021-07-31 03:38:36,839289,truck
386,2021-08-15 14:11:42,7212737,car
387,2021-07-31 22:09:56,9707238,truck
388,2021-08-16 23:15:11,9288974,car
389,2021-07-30 20:43:48,2130769,car
390,2021-08-10 02:13:35,3651531,car
391,2021-08-22 16:20:32,5066582,car
392,2021-08-21 10:40:29,318251,car
393,2021-08-21 13:30:56,1018828,car
394,2021-08-08 17:03:19,4329135,car
395,2021-08-03 22:42:16,5510586,car
396,2021-08-16 07:20:43,1292686,van
397,2021-08-05 01:52:17,2875806,truck
398,2021-07-31 08:15:24,5025963,car
399,2021-08-14 05:27:21,2358436,car
400,2021-08-20 07:33:43,4363896,truck
401,2021-08-06 02:08:16,7051510,truck
402,2021-08-06 13:29:57,5575517,car
403,2021-07-31 00:10:02,2930078,car
404,2021-07-29 15:14:45,1439079,truck
405,2021-08-09 16:59:57,2085626,truck
406,2021-08-09 16:41:38,809065,car
407,2021-08-06 06:10:52,4100648,car
408,2021-08-19 11:38:52,9745831,truck
409,2021-08-06 03:00:46,7337960,car
410,2021-08-10 15:04:38,3612246,car
411,2021-08-10 19:31:40,8601164,car
412,2021-07-31 15:35:09,6123311,truck
413,2021-08-02 08:29:14,3507029,car
414,2021-08-03 10:38:37,1725151,truck
415,2021-08-11 11:29:02,8860504,car
416,2021-08-07 22:59:56,2017681,truck
417,2021-08-07 23:16:29,8183479,car
418,2021-08-17 02:49:59,8811914,car
419,2021-08-15 00:53:46,9631688,car
420,2021-08-09 02:25:32,8193463,truck
421,2021-08-03 19:54:41,1766709,car
422,2021-08-10 08:15:41,4909497,car
423,2021-08-19 16:48:08,7279029,truck
424,2021-08-18 14:23:40,4791619,car
425,2021-08-07 09:05:10,8712036,car
426,2021-08-19 04:58:15,4973747,car
427,2021-08-01 04:42:52,2800039,car
428,2021-08-05 14:45:19,9337207,car
429,2021-08-11 06:53:51,9220703,car
430,2021-08-12 03:06:56,5090710,car
431,2021-08-18 01:59:31,9726834,truck
432,2021-08-20 20:39:23,8464288,car
433,2021-08-10 07:41:38,2918487,car
434,2021-08-08 15:32:55,6975253,car
435,2021-07-31 05:54:57,873000,car
436,2021-08-05 12:16:13,7144030,truck
437,2021-08-18 23:08:31,74751,car
438,2021-08-16 15:31:24,3092624,car
439,2021-08-19 23:08:03,8043044,truck
440,2021-08-19 18:40:24,6763315,car
441,2021-08-05 08:14:28,7665718,van
442,2021-08-18 05:43:44,2030697,car
443,2021-08-02 03:52:31,3546362,car
444,2021-08-16 00:20:11,5579622,car
445,2021-08-09 16:40:36,6766212,truck
446,2021-08-19 02:55:39,8678822,car
447,2021-08-12 17:06:06,2515206,car
448,2021-08-16 18:09:47,9647104,car
449,2021-08-06 12:07:31,8363585,car
450,2021-08-14 22:43:39,954814,truck
451,2021-07-30 15:15:49,3500082,car
452,2021-07-29 22:44:15,4302933,car
453,2021-08-21 11:38:46,1281592,truck
454,2021-08-11 09:22:42,1668996,car
455,2021-08-19 19:22:53,2799295,truck
456,2021-08-10 12:54:07,155498,truck
457,2021-08-21 16:57:14,3127161,van
458,2021-08-19 16:29:39,8415963,car
459,2021-08-05 03:33:30,4507082,car
460,2021-08-13 09:00:36,7935251,car
461,2021-08-11 19:02:46,2868406,car
462,2021-08-02 19:31:03,2337912,car
463,2021-08-16 16:30:43,3881228,car
464,2021-08-11 01:51:46,5263238,car
465,2021-08-15 04:25:10,4571658,van
466,2021-08-19 23:55:54,3017277,car
467,2021-08-22 03:51:32,9879687,car
468,2021-08-13 10:00:03,4056126,car
469,2021-08-05 13:34:50,6201597,van
470,2021-08-03 01:04:46,5063598,truck
471,2021-08-15 06:09:40,4666427,car
472,2021-08-15 08:07:00,9169123,car
473,2021-08-22 16:23:05,3521342,truck
474,2021-07-30 07:28:31,4997147,car
475,2021-08-03 04:49:32,4334699,car
476,2021-08-01 16:32:40,3896955,van
477,2021-08-01 14:13:06,685502,car
478,2021-08-04 06:20:23,3723750,truck
479,2021-08-22 14:50:30,8981107,car
480,2021-08-15 07:08:24,8161215,truck
481,2021-08-21 11:14:40,5494532,truck
482,2021-08-11 20:32:07,4709167,car
483,2021-08-22 05:19:54,326314,car
484,2021-07-29 14:21:36,256879,car
485,2021-07-30 11:05:14,5763581,van
486,2021-08-17 18:49:46,8131510,car
487,2021-08-09 03:42:43,8025290,car
488,2021-07-30 01:56:01,1988177,car
489,2021-08-08 00:30:25,8145530,car
490,2021-08-10 06:44:29,3562599,van
491,2021-08-17 16:54:51,1916677,car
492,2021-08-18 06:21:04,6726273,truck
493,2021-08-04 23:24:38,8523480,car
494,2021-08-19 00:56:38,1631685,truck
495,2021-08-14 03:33:50,9252011,truck
496,2021-08-21 22:03:13,7300558,car
497,2021-08-04 15:40:58,848840,car
498,2021-08-13 20:46:37,4739032,car
499,2021-08-02 12:44:36,1489777,van
500,2021-08-05 17:09:26,7710222,car
501,2021-08-13 02:03:31,6885916,car
502,2021-08-04 18:50:39,1900389,truck
503,2021-08-17 22:35:16,4875056,truck
504,2021-08-14 04:09:11,9306326,truck
505,2021-08-12 11:53:39,8211013,car
506,2021-08-03 16:42:19,6412488,car
507,2021-08-06 07:58:40,8703705,car
508,2021-08-12 06:47:15,278147,truck
509,2021-08-16 12:14:34,960545,van
510,2021-08-18 12:30:35,6056685,car
511,2021-08-04 20:40:31,4273899,truck
512,2021-08-07 11:34:45,7485577,car
513,2021-08-16 20:54:00,120233,car
514,2021-08-03 01:50:31,2438318,car
515,2021-08-03 09:35:23,5100664,truck
516,2021-08-16 05:42:59,3119836,car
517,2021-07-30 16:54:19,5631034,car
518,2021-08-17 11:29:11,8228986,truck
519,2021-08-04 07:19:27,434238,car
520,2021-07-31 15:12:19,7664842,truck
521,2021-08-03 13:29:48,7262675,car
522,2021-08-14 01:05:23,9771276,car
523,2021-08-22 08:29:54,9842071,truck
524,2021-08-04 04:09:56,1914947,truck
525,2021-07-30 17:17:39,1955268,car
526,2021-08-01 07:35:06,5515957,car
527,2021-08-22 09:39:42,8622096,car
528,2021-08-17 07:32:18,8753559,truck
529,2021-08-12 01:36:59,3601495,car
530,2021-07-30 14:30:56,2025847,car
531,2021-08-04 05:06:49,9026973,car
532,2021-08-19 16:40:17,4905006,car
533,2021-08-08 06:59:35,3836559,car
534,2021-07-29 11:33:13,280707,car
535,2021-08-06 09:14:44,1636541,van
536,2021-07-30 23:12:08,7979017,truck
537,2021-08-13 15:13:57,7543450,van
538,2021-08-08 21:10:36,2205725,car
539,2021-08-11 03:02:20,4863506,car
540,2021-08-14 10:42:45,2456417,car
541,2021-08-01 22:18:45,3298279,car
542,2021-08-01 05:51:52,6406520,car
543,2021-08-10 23:03:49,7381678,car
544,2021-07-29 13:29:37,7377775,truck
545,2021-07-30 18:20:15,5957136,car
546,2021-08-15 20:31:58,9491195,car
547,2021-08-04 21:58:50,7578723,car
548,2021-08-04 16:17:42,7567440,car
549,2021-08-16 05:33:09,4296882,car
550,2021-08-04 07:09:08,6011023,truck
551,2021-08-17 14:43:54,6498517,car
552,2021-08-11 23:34:57,2421022,van
553,2021-08-17 01:08:43,6247569,car
554,2021-08-08 00:12:08,7335690,car
555,2021-08-21 18:52:48,5557139,car
556,2021-08-12 13:31:35,3606424,car
557,2021-08-03 01:12:48,213742,van
558,2021-08-10 05:50:23,271972,car
559,2021-08-03 04:44:19,8708305,car
560,2021-08-14 16:15:26,5595295,truck
561,2021-08-02 08:07:34,4047163,truck
562,2021-08-01 00:57:14,7410078,van
563,2021-08-14 05:50:30,799900,car
564,2021-08-12 23:19:11,3628285,car
565,2021-08-02 01:08:32,1238213,truck
566,2021-08-18 00:54:22,3114925,truck
567,2021-08-04 14:20:15,8007927,truck
568,2021-08-06 01:11:44,7112490,car
569,2021-08-19 01:13:28,7937564,van
570,2021-08-13 23:32:55,6811197,car
571,2021-08-15 22:32:37,8837823,car
572,2021-08-04 01:35:34,8370925,car
573,2021-07-30 20:11:56,2912692,car
574,2021-08-10 16:10:19,1704930,truck
575,2021-08-19 07:55:38,9828050,car
576,2021-07-29 14:17:48,8691508,car
577,2021-08-16 08:36:18,5350555,car
578,2021-08-12 11:21:14,87473,truck
579,2021-08-18 23:24:41,1402344,car
580,2021-08-20 18:01:26,604087,truck
581,2021-08-07 05:29:19,9100282,truck
582,2021-08-16 09:49:12,2977249,car
583,2021-08-07 03:43:24,100740,car
584,2021-08-15 04:37:00,176275,van
585,2021-08-02 08:14:54,3656732,van
586,2021-08-20 14:26:22,448181,car
587,2021-08-17 02:57:33,7035330,truck
588,2021-08-08 12:42:51,6030362,truck
589,2021-08-01 02:08:15,7220576,car
590,2021-08-02 02:55:18,1125429,car
591,2021-08-17 07:35:42,9725410,car
592,2021-08-17 05:16:38,7233815,car
593,2021-08-22 11:37:54,9779572,car
594,2021-08-13 05:56:53,9495937,van
595,2021-08-07 03:02:35,9617462,car
596,2021-08-07 04:07:08,8297055,car
597,2021-08-04 06:47:42,4910789,van
598,2021-08-07 09:19:48,1795010,truck
599,2021-08-06 11:42:14,1885601,truck
600,2021-08-08 22:24:25,4547568,truck
601,2021-08-08 21:18:52,8915435,car
602,2021-08-18 21:20:47,6178034,car
603,2021-07-31 19:25:50,1203830,car
604,2021-08-22 16:07:57,6687177,car
605,2021-08-11 04:00:20,4272576,van
606,2021-08-05 07:32:55,8019404,car
607,2021-08-21 15:05:13,6637613,van
608,2021-08-18 21:39:19,4093668,car
609,2021-08-17 14:56:04,6432466,van
610,2021-08-01 01:07:30,6224747,car
611,2021-08-08 13:12:58,1106516,van
612,2021-08-17 22:51:27,2028559,car
613,2021-08-10 23:10:02,7244363,van
614,2021-08-05 06:57:10,630060,car
615,2021-08-01 18:02:23,2402303,car
616,2021-08-02 20:55:27,6921835,van
617,2021-08-16 01:19:24,4721228,car
618,2021-08-13 15:17:30,9228124,car
619,2021-08-17 09:19:10,1749235,car
620,2021-08-22 04:37:03,8040472,car
621,2021-08-18 08:19:46,693334,van
622,2021-08-11 14:55:38,2858446,car
623,2021-08-11 12:54:38,8763548,car
624,2021-08-02 05:07:45,4024297,car
625,2021-08-15 22:47:42,4363442,car
626,2021-08-02 14:33:38,3403611,car
627,2021-08-05 15:33:15,1595918,car
628,2021-08-21 08:47:46,3632725,truck
629,2021-08-13 09:06:03,7371447,car
630,2021-08-21 08:46:15,6099248,car
631,2021-08-22 08:07:57,1660640,car
632,2021-08-16 16:01:24,1690777,car
633,2021-08-10 08:08:11,1115588,car
634,2021-07-31 14:08:13,352509,truck
635,2021-08-16 16:25:58,7348691,car
636,2021-08-09 05:15:00,6742693,van
637,2021-08-08 11:02:00,8887256,truck
638,2021-07-31 03:42:19,9285412,car
639,2021-08-03 11:23:12,1520291,van
640,2021-07-31 21:52:05,5214202,car
641,2021-08-11 00:23:50,6933776,car
642,2021-08-12 00:46:30,3903772,car
643,2021-08-20 22:47:33,5258730,car
644,2021-08-22 15:57:17,1853606,car
645,2021-08-09 11:42:35,8435752,car
646,2021-08-03 23:46:30,2536867,car
647,2021-08-14 00:00:51,9418417,truck
648,2021-08-06 01:00:45,8428668,car
649,2021-08-03 15:37:52,4395137,car
650,2021-08-02 12:15:01,1030027,car
651,2021-08-10 11:43:45,9415672,car
652,2021-08-09 01:26:55,7396595,van
653,2021-08-20 06:36:00,9636439,car
654,2021-08-20 09:32:30,3354465,car
655,2021-08-14 00:32:36,5520004,truck
656,2021-08-17 00:01:05,5856047,car
657,2021-08-06 12:04:19,1820040,truck
658,2021-08-11 19:59:57,6020442,car
659,2021-08-13 17:23:26,3849475,car
