Rowid,Timestamp,Anonymized_Vehicle_Number,Vehicle_Type,Number_of_Axles,Tollplaza_ID,Tollplaza_Code,Type_of_Payment_Code,Vehicle_Code
25,2021-08-12 01:36:28,6702238,CAR,2,4630,PCA26D872,872,PTE V
26,2021-08-11 04:05:21,7598066,CAR,2,5003,PCAC9371E,71E,PTP V
27,2021-08-08 19:09:41,2959560,CAR,2,4243,PCC4F7DCE,DCE,PTE V
28,2021-08-01 02:04:42,9223690,CAR,2,4023,PC77793DF,3DF,PTP V
29,2021-08-15 11:11:42,495967,CAR,2,4987,PCF4A9637,637,PTE V
30,2021-08-14 03:39:26,1920115,CAR,2,4755,PC628DCED,CED,PTE V
31,2021-08-18 23:33:41,9940618,TRUCK,4,4079,PCF1366ED,6ED,PTE V
32,2021-08-06 10:18:54,733942,CAR,2,4616,PCE6675F9,5F9,PTE V
33,2021-08-19 15:58:25,3232373,TRUCK,4,4245,PC6594AD4,AD4,PTP V
34,2021-08-19 07:23:18,2164250,TRUCK,4,4090,PC1EE951B,51B,PTE V
35,2021-08-01 09:10:05,3714822,TRUCK,4,4383,PC4BFE950,950,PTE V
36,2021-08-07 13:11:54,9870882,VAN,2,4449,PCAACD453,453,PTC V
37,2021-08-10 01:27:00,834998,CAR,2,4351,PC4E572D8,2D8,PTP V
38,2021-08-10 14:31:35,6715866,CAR,2,4159,PC5631507,507,PTE V
39,2021-08-08 09:43:26,9723146,CAR,2,4018,PCCB2657A,57A,PTC V
40,2021-08-02 16:18:51,2871310,CAR,2,4827,PC7D68CD9,CD9,PTE V
41,2021-08-14 13:13:47,7657312,VAN,2,4115,PCF5D4B0A,B0A,PTC V
42,2021-08-03 03:53:05,9802000,CAR,2,4102,PC8C9B099,099,PTE V
43,2021-08-16 00:36:00,6514220,CAR,2,4398,PCE60D320,320,PTP V
44,2021-08-20 02:10:55,3803763,CAR,2,4918,PC8F8E598,598,PTE V
45,2021-08-14 06:32:07,2223161,CAR,2,4984,PCBABF130,130,PTP V
46,2021-07-30 02:19:56,1228573,TRUCK,4,4460,PCDF04952,952,PTP V
47,2021-08-04 14:30:03,4872795,CAR,2,4326,PC356AE8F,E8F,PTC V
48,2021-08-14 04:04:45,2074513,VAN,2,4600,PCB99E8F9,8F9,PTE V
49,2021-08-12 04:58:14,7368256,CAR,2,4735,PC2294422,422,PTE V
50,2021-08-11 10:50:27,2168309,CAR,2,4162,PC51A39A7,9A7,PTP V
51,2021-08-08 08:37:17,5131457,CAR,2,4012,PCEF5C190,190,PTC V
52,2021-08-09 23:48:43,2398430,CAR,2,4223,PCA37D114,114,PTC V
53,2021-08-18 17:50:45,6065595,VAN,2,4990,PCFE28E92,E92,PTP V
54,2021-08-02 16:59:38,9885768,CAR,2,4154,PC2C2EF9E,F9E,PTP V
55,2021-08-19 04:54:56,4327783,CAR,2,4913,PC685427C,27C,PTC V
56,2021-08-17 18:11:45,3904834,TRUCK,4,4388,PC803F0F2,0F2,PTP V
57,2021-08-02 19:48:50,1358382,CAR,2,4299,PCAD3B9BC,9BC,PTC V
58,2021-08-17 16:46:31,3579992,CAR,2,4725,PCB905D54,D54,PTC V
59,2021-08-11 22:21:30,8130760,CAR,2,4229,PCD0DDD3D,D3D,PTE V
60,2021-07-30 09:54:24,6546218,CAR,2,4354,PC0671DD4,DD4,PTC V
61,2021-08-07 16:42:24,3673515,CAR,2,4127,PCA2D76A5,6A5,PTC V
62,2021-08-04 20:43:54,9888875,TRUCK,4,4522,PC0A326BE,6BE,PTP V
63,2021-08-07 20:44:08,8136080,TRUCK,4,4410,PC6EFC03B,03B,PTP V
64,2021-08-12 19:23:36,2078447,VAN,2,4689,PC89C35AD,5AD,PTC V
65,2021-08-07 16:41:49,8090807,CAR,2,4296,PCA24C1E1,1E1,PTC V
66,2021-08-01 07:32:04,4309692,CAR,2,4303,PC2E2E0C0,0C0,PTC V
67,2021-08-11 14:24:25,3752767,CAR,2,4346,PCA35B156,156,PTC V
68,2021-08-04 23:10:29,9407219,CAR,2,4253,PC82A16E6,6E6,PTE V
69,2021-08-04 14:29:11,2167845,VAN,2,5007,PC869BDE8,DE8,PTP V
70,2021-08-17 01:20:54,7903517,CAR,2,4534,PCAD9E1F9,1F9,PTP V
71,2021-08-21 02:09:35,7385817,CAR,2,4742,PC05B8749,749,PTP V
72,2021-08-19 17:52:30,5673776,CAR,2,4944,PC41EEC34,C34,PTC V
73,2021-08-17 21:58:23,823973,CAR,2,4171,PC36C9AE8,AE8,PTC V
74,2021-08-10 13:03:36,9361361,CAR,2,4750,PCD987A9D,A9D,PTP V
75,2021-08-21 19:25:57,8744445,CAR,2,4878,PC08F56A1,6A1,PTE V
76,2021-08-08 14:01:06,2910050,CAR,2,4274,PC88EA64E,64E,PTP V
77,2021-08-05 11:21:12,1686323,CAR,2,4377,PC4AC8EAD,EAD,PTE V
78,2021-08-01 07:10:55,9113006,CAR,2,4265,PC5B2AFFA,FFA,PTE V
79,2021-07-30 15:53:32,660597,CAR,2,4304,PC89FB76E,76E,PTC V
80,2021-08-22 16:38:30,8500934,CAR,2,4797,PCE2D63A7,3A7,PTE V
81,2021-08-19 13:11:29,395519,TRUCK,4,4061,PC3A63A79,A79,PTP V
82,2021-08-09 14:17:00,2616607,TRUCK,4,4085,PC6150735,735,PTC V
83,2021-08-14 10:36:28,7218572,CAR,2,4675,PCE49911B,11B,PTC V
84,2021-08-12 11:53:03,994857,TRUCK,4,4997,PC8111910,910,PTC V
85,2021-08-02 20:12:17,3168436,CAR,2,4241,PC7241796,796,PTC V
86,2021-08-13 20:06:41,1572712,CAR,2,4890,PCAFC8A56,A56,PTP V
87,2021-07-29 17:35:21,545955,CAR,2,4537,PC10C700F,00F,PTP V
88,2021-08-22 05:39:41,2013386,CAR,2,4743,PCE6EEF2E,F2E,PTE V
89,2021-08-11 02:43:03,6566889,CAR,2,4026,PC2CE9851,851,PTC V
90,2021-08-11 02:39:24,852585,CAR,2,4373,PC8806694,694,PTE V
91,2021-07-29 14:30:02,6196238,TRUCK,4,4116,PCCA836C9,6C9,PTC V
92,2021-08-02 11:07:12,6031416,TRUCK,4,4785,PC787D664,664,PTP V
93,2021-08-04 15:15:09,6905906,VAN,2,5002,PC585BD38,D38,PTP V
94,2021-08-11 17:34:54,3764238,CAR,2,4728,PC07BF95F,95F,PTC V
95,2021-08-05 06:31:23,1673826,TRUCK,4,4015,PC524833E,33E,PTE V
96,2021-08-21 18:13:29,316662,CAR,2,4817,PCFF02057,057,PTP V
97,2021-08-19 22:17:26,2992127,TRUCK,4,4857,PC59F4E22,E22,PTC V
98,2021-08-19 12:02:31,7517992,CAR,2,4724,PC3DE08BF,8BF,PTC V
99,2021-08-12 06:54:12,6232948,TRUCK,4,4725,PCB905D54,D54,PTP V
100,2021-07-30 08:09:03,4369477,CAR,2,4591,PCC9875AC,5AC,PTC V
101,2021-08-06 18:18:53,4388245,TRUCK,4,4792,PC3E35002,002,PTP V
102,2021-08-07 20:49:07,8392508,CAR,2,4927,PC2D22627,627,PTE V
103,2021-07-30 16:08:08,6858708,CAR,2,4397,PCB070250,250,PTE V
104,2021-08-06 06:59:16,6215048,TRUCK,4,4195,PC308070B,70B,PTP V
105,2021-08-13 11:20:04,7046549,TRUCK,4,4336,PCD30AB50,B50,PTE V
106,2021-08-04 18:37:46,7899881,TRUCK,4,4520,PC8140983,983,PTP V
107,2021-08-20 01:13:53,9824238,CAR,2,4328,PC3777B8E,B8E,PTE V
108,2021-08-08 10:25:38,8180012,CAR,2,4749,PC65C93B7,3B7,PTC V
109,2021-08-10 12:42:19,426578,CAR,2,4990,PCFE28E92,E92,PTP V
110,2021-07-29 11:33:20,3284775,CAR,2,4231,PC016D687,687,PTP V
111,2021-07-31 18:42:46,5487227,CAR,2,4643,PC6713209,209,PTC V
112,2021-08-12 23:09:32,1772941,CAR,2,4121,PCEC57A8E,A8E,PTP V
113,2021-08-13 04:52:01,2471284,VAN,2,4400,PC3BD7D63,D63,PTP V
114,2021-08-22 03:05:40,6040036,CAR,2,4119,PC9EBEDB5,DB5,PTE V
115,2021-08-13 12:39:10,9249042,TRUCK,4,4695,PC4A5D62F,62F,PTE V
116,2021-08-09 22:59:28,5791925,CAR,2,4495,PC210A754,754,PTC V
117,2021-08-06 01:01:14,3696614,TRUCK,4,4434,PCA491459,459,PTE V
118,2021-08-02 05:42:51,7892550,CAR,2,4299,PCAD3B9BC,9BC,PTC V
119,2021-08-01 19:31:14,5673214,VAN,2,4023,PC77793DF,3DF,PTE V
120,2021-08-06 05:58:42,6657095,TRUCK,4,4365,PC0F226DF,6DF,PTC V
121,2021-08-09 16:03:31,2067579,VAN,2,4582,PC98750ED,0ED,PTC V
122,2021-08-13 11:42:48,1005686,CAR,2,4119,PC9EBEDB5,DB5,PTE V
123,2021-08-08 02:44:35,7521772,VAN,2,4416,PC546F252,252,PTE V
124,2021-08-15 08:43:48,6545042,CAR,2,4898,PC0AE9E1B,E1B,PTP V
125,2021-08-09 05:03:17,3473929,TRUCK,4,4698,PC8BCEB19,B19,PTE V
126,2021-08-22 02:13:18,29457,CAR,2,4416,PC546F252,252,PTP V
127,2021-08-21 23:03:24,7360318,CAR,2,4993,PC0F0AB4E,B4E,PTE V
128,2021-08-17 10:32:29,3427163,TRUCK,4,4356,PCF1979AE,9AE,PTE V
129,2021-07-30 08:44:05,3007179,VAN,2,4504,PC461DCD3,CD3,PTP V
130,2021-08-20 06:01:27,2151509,CAR,2,4811,PCBF83C7A,C7A,PTC V
131,2021-07-31 05:17:21,1067960,CAR,2,4574,PCC1F6F13,F13,PTC V
132,2021-08-03 07:01:26,1100257,CAR,2,4116,PCCA836C9,6C9,PTE V
133,2021-08-22 10:01:40,4346999,CAR,2,4049,PC4779D38,D38,PTC V
134,2021-08-14 17:24:04,4371005,CAR,2,4435,PC3E78C17,C17,PTP V
135,2021-08-14 11:50:01,1583109,CAR,2,4272,PC09BDC08,C08,PTE V
136,2021-08-18 07:26:20,8808595,CAR,2,4929,PC9E503B6,3B6,PTE V
137,2021-08-05 01:15:16,1841800,VAN,2,4531,PC857F4A0,4A0,PTE V
138,2021-07-31 00:28:44,1825050,CAR,2,4222,PC15EC378,378,PTP V
139,2021-08-13 09:54:01,8490556,CAR,2,4657,PCC591410,410,PTE V
140,2021-07-29 23:02:42,2549393,TRUCK,4,4481,PC30AAE76,E76,PTE V
141,2021-08-11 13:15:55,9636921,TRUCK,4,4145,PC5FBE4B8,4B8,PTP V
142,2021-08-19 21:13:57,8899022,TRUCK,4,4813,PCACF7982,982,PTP V
143,2021-08-19 08:46:24,8112100,VAN,2,4585,PCF3AE602,602,PTC V
144,2021-07-29 16:02:19,335366,CAR,2,4924,PCE3427C5,7C5,PTE V
145,2021-07-31 19:32:50,1716955,TRUCK,4,4584,PC1085B78,B78,PTE V
146,2021-08-21 13:56:33,4153555,VAN,2,4225,PCC1ED0C5,0C5,PTC V
147,2021-07-31 12:55:05,5626263,CAR,2,4719,PCBD66B01,B01,PTE V
148,2021-08-06 23:05:57,49472,CAR,2,4830,PC12EEFE0,FE0,PTE V
149,2021-08-05 15:24:15,2497636,CAR,2,4073,PCA3797CA,7CA,PTE V
150,2021-08-03 19:13:15,7825358,TRUCK,4,4954,PCA276EBB,EBB,PTC V
151,2021-07-31 11:27:59,6084818,VAN,2,4732,PCD83DE25,E25,PTE V
152,2021-08-19 18:53:39,5455899,CAR,2,4155,PC9042B3F,B3F,PTP V
153,2021-08-17 22:11:51,1849505,VAN,2,4142,PC7ACFF7C,F7C,PTP V
154,2021-08-18 19:49:38,6114302,CAR,2,4737,PCED7EAFE,AFE,PTC V
155,2021-08-15 12:34:18,8064123,CAR,2,4337,PCCF6A454,454,PTP V
156,2021-08-06 19:17:50,538972,TRUCK,4,4507,PC11DCA73,A73,PTE V
157,2021-07-30 13:58:53,6869546,TRUCK,4,4092,PC40C2E00,E00,PTE V
158,2021-08-02 16:00:33,3766512,CAR,2,4269,PCC7106FF,6FF,PTP V
159,2021-08-20 21:45:41,3528403,CAR,2,4610,PCA4D3E9B,E9B,PTC V
160,2021-08-20 04:59:50,4380057,VAN,2,4980,PCBD5C822,822,PTP V
161,2021-08-15 00:36:59,7876599,CAR,2,4295,PCD483999,999,PTC V
162,2021-08-13 00:25:06,969619,CAR,2,4412,PC821BC98,C98,PTP V
163,2021-07-30 13:42:03,5763049,CAR,2,4364,PCB33ACE8,CE8,PTC V
164,2021-08-16 05:46:00,6079402,TRUCK,4,4290,PC84E8CEF,CEF,PTE V
165,2021-08-01 22:59:23,4832816,CAR,2,4264,PC9DFEBB0,BB0,PTP V
166,2021-08-20 12:19:46,3518759,TRUCK,4,4412,PC821BC98,C98,PTE V
167,2021-07-31 02:42:05,4469770,TRUCK,4,4712,PC94168A2,8A2,PTP V
168,2021-08-06 11:25:34,7942552,TRUCK,4,4603,PC485BE5B,E5B,PTC V
169,2021-08-17 21:17:32,2493747,TRUCK,4,4180,PC250A90D,90D,PTC V
170,2021-08-03 15:31:28,8099060,CAR,2,4592,PC627AA14,A14,PTE V
171,2021-08-20 22:50:25,4492765,TRUCK,4,4008,PC5680D80,D80,PTC V
172,2021-08-06 07:45:56,5758058,CAR,2,4083,PC90346C9,6C9,PTC V
173,2021-08-19 00:24:55,9496559,CAR,2,4573,PC4D8469D,69D,PTE V
174,2021-07-30 02:24:22,3174341,CAR,2,4642,PC17D596F,96F,PTP V
175,2021-08-13 05:55:34,3318165,CAR,2,4693,PCB4CDDA5,DA5,PTP V
176,2021-08-02 14:28:14,7509515,TRUCK,4,4787,PC1BDA119,119,PTE V
177,2021-08-03 12:47:44,367073,CAR,2,4989,PC7D7AE48,E48,PTP V
178,2021-08-08 09:26:56,8543348,TRUCK,4,4803,PC2BBEEDC,EDC,PTP V
179,2021-08-20 04:16:14,4588656,CAR,2,4848,PCF0FC9B2,9B2,PTE V
180,2021-08-20 04:22:16,9706662,CAR,2,4377,PC4AC8EAD,EAD,PTC V
181,2021-08-10 03:28:33,3359010,CAR,2,4947,PCE4A44BE,4BE,PTC V
182,2021-08-18 11:24:47,7639441,CAR,2,4439,PC845CEA6,EA6,PTE V
183,2021-08-03 08:52:25,9449600,CAR,2,4346,PCA35B156,156,PTE V
184,2021-08-11 06:39:10,7572233,CAR,2,4718,PC81E83B9,3B9,PTP V
185,2021-08-20 03:23:49,7096671,TRUCK,4,4049,PC4779D38,D38,PTP V
186,2021-07-30 23:54:00,6218100,CAR,2,4579,PC926F0A9,0A9,PTC V
187,2021-08-11 07:11:55,9500467,VAN,2,4985,PCCA71D2C,D2C,PTC V
188,2021-08-15 20:41:12,2551672,TRUCK,4,4356,PCF1979AE,9AE,PTP V
189,2021-08-18 18:28:36,4423795,CAR,2,4631,PCFFF6463,463,PTE V
190,2021-08-09 07:19:12,1520424,CAR,2,4898,PC0AE9E1B,E1B,PTE V
191,2021-08-10 16:39:12,5680437,CAR,2,4022,PCF135377,377,PTC V
192,2021-08-09 02:30:05,1469208,VAN,2,4586,PC4A40D50,D50,PTC V
193,2021-08-09 06:58:52,9017449,CAR,2,4733,PC797AEBF,EBF,PTP V
194,2021-08-07 03:09:03,9014873,TRUCK,4,4764,PCF6B0D12,D12,PTC V
195,2021-08-07 21:03:28,6849933,CAR,2,4466,PC6E93A05,A05,PTE V
196,2021-08-01 00:29:43,1907386,CAR,2,4158,PCAA68777,777,PTP V
197,2021-08-01 01:56:36,5556619,TRUCK,4,4111,PC07F012A,12A,PTP V
198,2021-08-17 00:22:53,8724319,TRUCK,4,4591,PCC9875AC,5AC,PTC V
199,2021-08-09 08:24:12,4066334,CAR,2,4015,PC524833E,33E,PTE V
200,2021-07-31 19:46:31,1208453,CAR,2,4420,PCFDB2950,950,PTE V
201,2021-08-06 18:13:51,8705286,TRUCK,4,4924,PCE3427C5,7C5,PTE V
202,2021-08-12 00:17:15,758555,CAR,2,4501,PC5D41947,947,PTP V
203,2021-08-10 22:07:00,7388283,CAR,2,4026,PC2CE9851,851,PTE V
204,2021-08-08 07:16:20,7589773,CAR,2,4280,PC03A5F23,F23,PTE V
205,2021-08-18 08:29:07,2316095,CAR,2,4953,PC1E2B07E,07E,PTP V
206,2021-08-10 20:36:42,1847455,VAN,2,4923,PC8A7A22A,22A,PTE V
207,2021-08-13 05:36:53,7707016,CAR,2,4283,PC953B572,572,PTP V
208,2021-08-01 04:10:44,2616520,TRUCK,4,4899,PC4967767,767,PTE V
209,2021-08-15 11:41:43,8332760,TRUCK,4,4560,PC5030572,572,PTP V
210,2021-08-09 05:19:02,9677148,CAR,2,4037,PC0A50259,259,PTP V
211,2021-08-04 19:23:36,2695699,CAR,2,4610,PCA4D3E9B,E9B,PTC V
212,2021-08-20 04:00:27,1836057,CAR,2,4775,PCA50FB36,B36,PTP V
213,2021-08-18 09:20:33,7980271,TRUCK,4,4414,PC40BD0F3,0F3,PTP V
214,2021-07-31 01:41:58,9166253,CAR,2,4915,PC86B0D7B,D7B,PTC V
215,2021-08-02 20:26:27,5966610,CAR,2,4618,PC8F4AF85,F85,PTE V
216,2021-08-10 14:11:13,8273227,CAR,2,4909,PCDED6F20,F20,PTP V
217,2021-08-17 11:21:41,4772310,CAR,2,4497,PC76FDDEA,DEA,PTP V
218,2021-08-12 01:18:11,401226,CAR,2,4401,PC0606D6A,D6A,PTC V
219,2021-08-02 22:30:06,5259884,VAN,2,4284,PC0DB49FD,9FD,PTE V
220,2021-08-12 13:20:29,4560546,CAR,2,4235,PCFB11406,406,PTC V
221,2021-08-06 23:10:56,3679257,TRUCK,4,4482,PCB6A16D7,6D7,PTE V
222,2021-08-08 01:28:48,5001460,CAR,2,4981,PC6B14C5D,C5D,PTC V
223,2021-08-12 14:26:03,488809,CAR,2,4175,PC08EA270,270,PTE V
224,2021-08-15 16:57:15,4435309,CAR,2,4188,PCDB12C82,C82,PTE V
225,2021-08-06 17:35:18,9206176,CAR,2,4015,PC524833E,33E,PTC V
226,2021-08-07 03:08:44,5665208,TRUCK,4,4230,PC19CE0DB,0DB,PTP V
227,2021-08-01 05:31:31,3619766,CAR,2,4686,PCD6E5E77,E77,PTC V
228,2021-08-18 09:22:29,8195160,CAR,2,4123,PCDE850D8,0D8,PTE V
229,2021-08-04 05:40:04,689804,TRUCK,4,4283,PC953B572,572,PTC V
230,2021-08-16 02:36:38,7671204,CAR,2,4016,PCCD7399B,99B,PTC V
231,2021-08-06 19:31:40,7549660,TRUCK,4,4504,PC461DCD3,CD3,PTC V
232,2021-08-02 17:00:36,6999001,CAR,2,4377,PC4AC8EAD,EAD,PTE V
233,2021-08-12 15:17:57,3470780,TRUCK,4,4971,PC0BD172F,72F,PTC V
234,2021-08-07 15:21:43,3321932,CAR,2,4031,PC0214185,185,PTC V
235,2021-08-09 04:56:23,2993477,TRUCK,4,4965,PCA0BAE0F,E0F,PTE V
236,2021-08-13 09:02:27,7137012,CAR,2,4350,PCEDD7E85,E85,PTC V
237,2021-08-02 07:55:35,4425207,CAR,2,4232,PC4156AD5,AD5,PTP V
238,2021-08-14 11:54:16,8906007,CAR,2,4592,PC627AA14,A14,PTE V
239,2021-07-31 04:23:09,2613132,CAR,2,4760,PC161AC8D,C8D,PTP V
240,2021-08-16 01:53:03,1351738,TRUCK,4,5002,PC585BD38,D38,PTE V
241,2021-08-14 11:49:22,8845283,CAR,2,4974,PCDEB8E32,E32,PTE V
242,2021-08-18 19:07:34,5207716,CAR,2,4361,PC2E0C888,888,PTE V
243,2021-08-09 05:34:28,2593435,CAR,2,4946,PCCF18BAF,BAF,PTP V
244,2021-08-14 08:00:30,3194131,CAR,2,4314,PC7E9E8F3,8F3,PTC V
245,2021-08-14 08:01:53,946473,CAR,2,4784,PCDB42B34,B34,PTE V
246,2021-08-02 19:28:13,2098761,TRUCK,4,4611,PC2EBEAB9,AB9,PTE V
247,2021-08-11 02:53:00,7556070,VAN,2,4515,PC6A1B37B,37B,PTP V
248,2021-08-13 20:51:49,7949412,CAR,2,4531,PC857F4A0,4A0,PTC V
249,2021-08-16 01:15:58,4982057,CAR,2,4070,PCEECA8B2,8B2,PTE V
250,2021-08-15 04:10:44,1732371,CAR,2,4891,PC57036DA,6DA,PTC V
251,2021-08-08 23:50:15,4012995,CAR,2,4325,PC8FC83B3,3B3,PTE V
252,2021-08-18 07:43:49,2596237,CAR,2,4672,PC03AE86F,86F,PTP V
253,2021-08-02 17:51:59,8381319,CAR,2,4147,PC4D2C5A7,5A7,PTC V
254,2021-08-11 21:55:31,5062265,TRUCK,4,4049,PC4779D38,D38,PTC V
255,2021-08-16 17:16:35,7705983,CAR,2,4748,PCF2ECD29,D29,PTE V
256,2021-07-29 16:35:35,2307979,VAN,2,4654,PCBA5D8AB,8AB,PTC V
257,2021-08-16 03:21:45,2588561,CAR,2,4890,PCAFC8A56,A56,PTC V
258,2021-08-08 12:39:42,6847371,CAR,2,4972,PCC51AD39,D39,PTE V
259,2021-08-17 15:39:08,2121085,CAR,2,4709,PCC8C7059,059,PTE V
260,2021-08-03 01:37:46,1734512,CAR,2,4788,PC00AE965,965,PTC V
261,2021-08-17 22:18:40,7759834,TRUCK,4,4306,PC5D6563A,63A,PTE V
262,2021-08-16 10:41:55,6292412,CAR,2,4436,PC0CF9451,451,PTE V
263,2021-08-13 11:00:14,866998,CAR,2,4039,PC73BE1E2,1E2,PTC V
264,2021-08-12 23:25:40,9057323,TRUCK,4,4612,PC871C1FC,1FC,PTC V
265,2021-08-06 03:55:57,8091650,CAR,2,4686,PCD6E5E77,E77,PTP V
266,2021-08-05 23:24:23,2155384,CAR,2,4314,PC7E9E8F3,8F3,PTC V
267,2021-08-03 06:54:05,1867583,CAR,2,4608,PCACD1BEE,BEE,PTE V
268,2021-08-16 07:28:50,2703371,TRUCK,4,4063,PC7667A3E,A3E,PTP V
269,2021-08-03 20:00:16,8368036,CAR,2,4944,PC41EEC34,C34,PTC V
270,2021-08-16 07:03:18,3418635,TRUCK,4,4246,PC95F5F6B,F6B,PTP V
271,2021-08-15 16:44:18,301035,CAR,2,4438,PC665A28E,28E,PTE V
272,2021-08-12 13:34:54,4648848,CAR,2,4234,PC5EBC1E1,1E1,PTE V
273,2021-08-13 02:09:10,758078,CAR,2,4050,PC822E359,359,PTP V
274,2021-08-07 04:50:03,1517284,VAN,2,4721,PCE937423,423,PTC V
275,2021-08-04 20:38:41,5708944,CAR,2,4130,PC9F22103,103,PTE V
276,2021-07-29 20:17:07,202496,CAR,2,4852,PC68969FB,9FB,PTC V
277,2021-07-29 19:34:22,6716922,TRUCK,4,4575,PC84D9FC1,FC1,PTC V
278,2021-08-08 03:23:33,5536264,CAR,2,4326,PC356AE8F,E8F,PTE V
279,2021-08-08 07:34:29,2105735,CAR,2,4694,PCBCF42C2,2C2,PTE V
280,2021-07-31 12:39:28,8857993,CAR,2,4551,PCCA5979C,79C,PTC V
281,2021-08-09 15:56:14,514282,CAR,2,4775,PCA50FB36,B36,PTP V
282,2021-08-06 23:44:18,847307,TRUCK,4,4146,PCF91266E,66E,PTE V
283,2021-08-07 06:42:24,2573891,VAN,2,4042,PC5D4DE09,E09,PTC V
284,2021-08-06 08:07:39,9009917,CAR,2,4904,PC36C6441,441,PTC V
285,2021-08-19 14:34:35,1701415,TRUCK,4,4556,PC18C31F6,1F6,PTP V
286,2021-08-07 20:38:49,5040531,CAR,2,4812,PC22D9C6D,C6D,PTE V
287,2021-08-20 13:15:02,1297862,CAR,2,4742,PC05B8749,749,PTC V
288,2021-08-04 06:15:30,1932822,VAN,2,4788,PC00AE965,965,PTP V
289,2021-07-31 21:51:59,8569313,CAR,2,4830,PC12EEFE0,FE0,PTC V
290,2021-08-08 06:33:09,6311114,CAR,2,4218,PC8DF4919,919,PTP V
291,2021-08-16 06:11:04,1451546,CAR,2,4754,PC99AE725,725,PTC V
292,2021-08-20 13:36:58,1711676,VAN,2,4960,PC6A1BCA4,CA4,PTP V
293,2021-08-09 18:51:11,6740804,CAR,2,4090,PC1EE951B,51B,PTC V
294,2021-08-18 12:19:24,9049528,CAR,2,4804,PC68484C6,4C6,PTE V
295,2021-08-15 08:30:45,5269094,VAN,2,4617,PC7758F89,F89,PTP V
296,2021-08-11 13:15:58,4753661,CAR,2,4150,PCC8441A8,1A8,PTC V
297,2021-08-14 09:06:09,1948111,CAR,2,4086,PC23E470D,70D,PTP V
298,2021-08-17 00:00:26,5894664,VAN,2,4730,PC7DC0964,964,PTE V
299,2021-08-11 04:51:17,5455717,TRUCK,4,4925,PCE5E04A2,4A2,PTP V
300,2021-08-02 21:43:22,1499647,CAR,2,4629,PCC5E1C04,C04,PTC V
301,2021-08-05 21:50:38,2843245,TRUCK,4,4286,PC12BE494,494,PTE V
302,2021-08-16 04:30:00,9796603,TRUCK,4,4617,PC7758F89,F89,PTE V
303,2021-08-01 21:21:40,5671860,CAR,2,4556,PC18C31F6,1F6,PTE V
304,2021-08-17 04:20:26,425972,TRUCK,4,4183,PCF5E7754,754,PTC V
305,2021-08-10 07:28:04,7588083,CAR,2,4089,PC3CCA187,187,PTE V
306,2021-08-04 03:45:21,4816147,CAR,2,4230,PC19CE0DB,0DB,PTC V
307,2021-08-12 06:45:42,461211,CAR,2,4615,PC1ECBA39,A39,PTP V
308,2021-07-30 07:48:58,7091224,CAR,2,4720,PCDD23528,528,PTC V
309,2021-08-14 03:11:57,3540160,CAR,2,4905,PCE1EA438,438,PTP V
310,2021-08-21 01:26:42,863358,VAN,2,4758,PCCE12794,794,PTC V
